,elec_baseload_MW,elec_cooling_MW,elec_heating_MW,elec_dg_MW,elec_total_MW,nonelec_baseload_MW,nonelec_cooling_MW,nonelec_heating_MW,nonelec_total_MW,elec_net_MW
2018-05-20 14:00:00+00:00,24.036286875311333,1.3721192373863569,0.17618710871190546,0.0,25.58459136508305,3.106414049527438,0.03454079799916411,0.023579491393914794,3.1645335183892094,25.58459136508305
2018-05-20 15:00:00+00:00,24.64451292644367,3.0006292126179837,0.04503160059692076,0.0,27.690177728959128,3.1647276374207096,0.03500230946459444,0.004277659029243873,3.2040080399884268,27.690177728959128
2018-05-20 16:00:00+00:00,25.150992932069798,7.506025630109322,0.030319477014384075,0.0,32.68733363328953,3.5025515308156714,0.059730171032091696,0.0033002264604568136,3.5655831911644285,32.68733363328953
2018-05-20 17:00:00+00:00,25.357140239596212,9.113773789869663,0.013520197608653878,0.0,34.484432958860666,3.1662620234473726,0.0704960317503219,0.0017742206255633667,3.238537796148698,34.484432958860666
2018-05-20 18:00:00+00:00,25.174992072928355,10.237704479619932,0.00891296509521912,0.0,35.421615399407315,2.950008718688819,0.07752277317702273,0.0012858740335640248,3.0288192730293173,35.421615399407315
2018-05-20 19:00:00+00:00,24.94756340288606,11.249019563170869,0.0052055002093699294,0.0,36.20179037934277,2.822650904656196,0.08285826426002925,0.0009234851814379187,2.9064329474059885,36.20179037934277
2018-05-20 20:00:00+00:00,24.636853693527396,11.106706211395725,0.008261179208089022,0.0,35.751819375745825,2.908822239595584,0.08026432070228703,0.0008602405256628468,2.9899467418896397,35.751819375745825
2018-05-20 21:00:00+00:00,24.408858498182152,11.680989025898668,0.009248560889084802,0.0,36.099093029111444,2.8543182589108667,0.07773101701316873,0.0008416515544691322,2.9328908826198825,36.099093029111444
2018-05-20 22:00:00+00:00,24.05996518957708,12.422373523355539,0.009678538482247468,0.0,36.4920211930673,2.8037855394576336,0.0777627303816952,0.0009447282504874727,2.8824935063619415,36.4920211930673
2018-05-20 23:00:00+00:00,23.676186285271594,11.338530569915335,0.013169812171599628,0.0,35.02788692709525,2.8074240850850174,0.07017525067430501,0.001306945744776836,2.878907879193188,35.02788692709525
2018-05-21 00:00:00+00:00,23.219980302454644,9.411709804039134,0.017002047729244976,0.0,32.64869563930684,2.8668009858475543,0.05968643845132831,0.0019288343179439651,2.9284190812932263,32.64869563930684
