station,knot_preset,harmonic_variant,regressor_variant,regressors,active_regs,train_mape,train_rmse,train_r2,validation_mape,validation_rmse,validation_r2
"Honolulu, HI",high,lp,+wind_v+air_temp,"pressure,dp_dt,wind_u,wind_v,air_temp","pressure,dp_dt,wind_u,wind_v,air_temp",20.922842393095102,0.04033207719480163,0.956874472768228,23.653295237646105,0.07333333844776892,0.867947463350206
"Honolulu, HI",high,lp+p1+q1,+wind_v,"pressure,dp_dt,wind_u,wind_v","pressure,dp_dt,wind_u,wind_v",21.072928956330692,0.040251248884284156,0.9570471527238013,23.65366192224596,0.07333024380439139,0.8679586082644869
"Honolulu, HI",high,lp+p1+q1,base,"pressure,dp_dt,wind_u","pressure,dp_dt,wind_u",21.088876985353984,0.04028913792924484,0.9569662504723918,23.664593773716778,0.07332424347283652,0.8679802162579469
"Honolulu, HI",high,lp,+wind_v,"pressure,dp_dt,wind_u,wind_v","pressure,dp_dt,wind_u,wind_v",21.078603387264174,0.04049657446961475,0.9565219742629223,23.676416472653102,0.07333847017464014,0.8679289811352771
"Honolulu, HI",high,lp,base,"pressure,dp_dt,wind_u","pressure,dp_dt,wind_u",21.096766151473442,0.0405368872281693,0.9564353698249582,23.685868989641605,0.07333954468309907,0.8679251110663702
"Honolulu, HI",med,lp+p1+q1+msf,+wind_v+air_temp,"pressure,dp_dt,wind_u,wind_v,air_temp","pressure,dp_dt,wind_u,wind_v,air_temp",20.816188932195402,0.039824103190191716,0.9579539456585613,23.708964263798972,0.07345242613798574,0.867518228825246
"Honolulu, HI",high,lp+p1+q1+msf,+wind_v+air_temp,"pressure,dp_dt,wind_u,wind_v,air_temp","pressure,dp_dt,wind_u,wind_v,air_temp",20.767984117902447,0.0397720501910361,0.9580637883272496,23.73499759089902,0.073487357258059,0.8673921924970897
"Honolulu, HI",med,lp+p1+q1+msf,+wind_v,"pressure,dp_dt,wind_u,wind_v","pressure,dp_dt,wind_u,wind_v",20.969799538448076,0.03997806012325713,0.9576282236128772,23.741845080552057,0.07345795226050751,0.8674982937985158
"Honolulu, HI",med,lp+p1+q1+msf,base,"pressure,dp_dt,wind_u","pressure,dp_dt,wind_u",20.987486212719585,0.04000606330754998,0.9575688430313722,23.75955064856338,0.07345706348263745,0.8675015000918624
"Honolulu, HI",high,lp+p1+q1+msf,+wind_v,"pressure,dp_dt,wind_u,wind_v","pressure,dp_dt,wind_u,wind_v",20.937497378361805,0.03996811034227195,0.9576493120514279,23.78954618113013,0.0735084635349813,0.8673160090788522
"Honolulu, HI",high,lp+p1+q1+msf,base,"pressure,dp_dt,wind_u","pressure,dp_dt,wind_u",20.958736833409848,0.040007545453781025,0.9575656989907374,23.813432520164163,0.07351586990384616,0.8672892704956083
